ANP_CATE,ANP_UBPO,ANP_NOMB
Bosque de Protección,Lima,Aledaño a la Bocatoma del Canal Nuevo Imperial
Bosque de Protección,La Libertad,Puquio Santa Rosa
Bosque de Protección,Junín,de Pui Pui
Bosque de Protección,Pasco,San Matias-San Carlos
Bosque de Protección,Cajamarca,de Pagaibamba
Bosque de Protección,San Martín,Alto Mayo
Coto de Caza,Piura,El Angolo
Coto de Caza,Cajamarca  y la Libertad,Sunchubamba
Parque Nacional,Cajamarca,de Cutervo
Parque Nacional,Huánuco,de Tingo María
Parque Nacional,Cusco y Madre de Dios,del Manu
Parque Nacional,Ancash,Huascarán
Parque Nacional,Tumbes y Piura,Cerros de Amotape
Parque Nacional,San Martín,del Río Abiseo
Parque Nacional,Pasco,Yanachaga-Chemillén
Parque Nacional,Madre de Dios y Puno,Bahuaja-Sonene
Parque Nacional,"San Martín, Loreto, Ucayali y Huánuco",Cordillera Azul
Parque Nacional,Junín y Cusco,Otishi
Parque Nacional,Ucayali y Madre de Dios,Alto Purús
Parque Nacional,Amazonas,Ichigkat Muja-Cordillera del Cóndor
Parque Nacional,Loreto,Güeppí-Sekime
Parque Nacional,Loreto y Ucayali,Sierra del Divisor
Parque Nacional,Loreto,Yaguas
Refugio de Vida Silvestre,Lambayeque,Laquipampa
Refugio de Vida Silvestre,Lima,Los Pantanos de Villa
Refugio de Vida Silvestre,Cajamarca,Bosques Nublados de Udima
Refugio de Vida Silvestre,Cajamarca,Bosques Nublados de Udima
Refugio de Vida Silvestre,Cajamarca,Bosques Nublados de Udima
Reserva Comunal,Pasco,Yanesha
Reserva Comunal,"Huánuco, Pasco y Ucayali",El Sira
Reserva Comunal,Madre de Dios,Amarakaeri
Reserva Comunal,Junín y Cusco,Ashaninka
Reserva Comunal,Cusco,Machiguenga
Reserva Comunal,Ucayali y Madre de Dios,Purús
Reserva Comunal,Amazonas,Tuntanain
Reserva Comunal,Amazonas,Chayu Naín
Reserva Comunal,Loreto,Airo Pai
Reserva Comunal,Loreto,Huimeki
Reserva Nacional,Ayacucho,Pampa Galeras Barbara D' Achille
Reserva Nacional,Junín y Pasco,de Junín
Reserva Nacional,Ica,de Paracas
Reserva Nacional,Lima,de Lachay
Reserva Nacional,Puno,del Titicaca
Reserva Nacional,Puno,del Titicaca
Reserva Nacional,Arequipa y Moquegua,de Salinas y Aguada Blanca
Reserva Nacional,La Libertad,de Calipuy
Reserva Nacional,Loreto,Pacaya-Samiria
Reserva Nacional,Madre de Dios,Tambopata
Reserva Nacional,Loreto,Allpahuayo Mishana
Reserva Nacional,Tumbes,de Tumbes
Reserva Nacional,Loreto,Matsés
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Isla Lobos de Tierra"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Islas Lobos de Afuera"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Islas Macabí"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Islas Guañape Norte y Guañape Sur"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Isla Chao"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Islote Corcovado"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Isla Santa"
Reserva Nacional,Ancash,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Culebras"
Reserva Nacional,Ancash,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Colorado"
Reserva Nacional,Lima,"Sistema de Islas, Islotes y Puntas Guaneras - Punta La Litera"
Reserva Nacional,Océano Pacífico,"Sistema de Islas, Islotes y Puntas Guaneras - Islote Don Martín"
