ANP_UBPO,ANP_CATE,ANP_SULEG
Lima,Bosque de Protección,18.11
La Libertad,Bosque de Protección,72.5
Junín,Bosque de Protección,60000
Pasco,Bosque de Protección,145818
Cajamarca,Bosque de Protección,2078.38
San Martín,Bosque de Protección,182000
Piura,Coto de Caza,65000
Cajamarca y la Libertad,Coto de Caza,59735
Cajamarca,Parque Nacional,5784.69
Huánuco,Parque Nacional,4777
Cusco y Madre de Dios,Parque Nacional,1716295.22
Ancash,Parque Nacional,340000
Tumbes y Piura,Parque Nacional,151767.49
San Martín,Parque Nacional,274520
Pasco,Parque Nacional,122000
Madre de Dios y Puno,Parque Nacional,1091416
"San Martín, Loreto, Ucayali y Huánuco",Parque Nacional,1353190.85
Junín y Cusco,Parque Nacional,305973.05
Ucayali y Madre de Dios,Parque Nacional,2510694.41
Amazonas,Parque Nacional,88477
Loreto,Parque Nacional,203628.51
Loreto y Ucayali,Parque Nacional,1354485.1
Loreto,Parque Nacional,868927.84
Lambayeque,Refugio de Vida Silvestre,8328.64
Lima,Refugio de Vida Silvestre,263.27
Cajamarca,Refugio de Vida Silvestre,9849.64
Cajamarca,Refugio de Vida Silvestre,74.41
Cajamarca,Refugio de Vida Silvestre,2259.15
Pasco,Reserva Comunal,34744.7
"Huánuco, Pasco y Ucayali",Reserva Comunal,616413.41
Madre de Dios,Reserva Comunal,402335.62
Junín y Cusco,Reserva Comunal,184468.38
Cusco,Reserva Comunal,218905.63
Ucayali y Madre de Dios,Reserva Comunal,202033.21
Amazonas,Reserva Comunal,94967.68
Amazonas,Reserva Comunal,23597.76
Loreto,Reserva Comunal,247887.59
Loreto,Reserva Comunal,141234.46
Ayacucho,Reserva Nacional,6500
Junín y Pasco,Reserva Nacional,53000
Ica,Reserva Nacional,335000
Lima,Reserva Nacional,5070
Puno,Reserva Nacional,7030
Puno,Reserva Nacional,29150
Arequipa y Moquegua,Reserva Nacional,366936
La Libertad,Reserva Nacional,64000
Loreto,Reserva Nacional,2080000
Madre de Dios,Reserva Nacional,274690
Loreto,Reserva Nacional,58069.9
Tumbes,Reserva Nacional,19266.72
Loreto,Reserva Nacional,420635.34
Océano Pacífico,Reserva Nacional,18278.9
Océano Pacífico,Reserva Nacional,8265.13
Océano Pacífico,Reserva Nacional,8015.76
Océano Pacífico,Reserva Nacional,8487.36
Océano Pacífico,Reserva Nacional,4495.28
Océano Pacífico,Reserva Nacional,5228.21
Océano Pacífico,Reserva Nacional,6662.71
Ancash,Reserva Nacional,2953.89
Ancash,Reserva Nacional,2209.86
Lima,Reserva Nacional,2036.45
Océano Pacífico,Reserva Nacional,3312.02
Lima,Reserva Nacional,14207.8
Océano Pacífico,Reserva Nacional,6913.23
Océano Pacífico,Reserva Nacional,5146.88
Océano Pacífico,Reserva Nacional,4289.88
Océano Pacífico,Reserva Nacional,3929.58
Océano Pacífico,Reserva Nacional,9410.91
Océano Pacífico,Reserva Nacional,7197.01
Ica,Reserva Nacional,2465.85
Ica,Reserva Nacional,2968.8
Arequipa,Reserva Nacional,2404.26
Arequipa,Reserva Nacional,3467.69
Arequipa,Reserva Nacional,2436.68
Arequipa,Reserva Nacional,2684.19
Moquegua,Reserva Nacional,3365.14
Loreto,Reserva Nacional,637953.83
Ica,Reserva Nacional,154716.37
Piura,Reserva Nacional,36550.7
Lima y Junín,Reserva Paisajistica,221268.48
Arequipa,Reserva Paisajistica,490550
Junín,Santuario Histórico,2500
Ayacucho,Santuario Histórico,300
Cusco,Santuario Histórico,32592
Lambayeque,Santuario Histórico,5887.38
Pasco,Santuario Nacional,6815
La Libertad,Santuario Nacional,4500
Arequipa,Santuario Nacional,690.6
Apurímac,Santuario Nacional,3635.5
Tumbes,Santuario Nacional,2972
Cusco,Santuario Nacional,215868.96
Junín,Santuario Nacional,11543.74
Cajamarca,Santuario Nacional,32124.87
Amazonas,Santuario Nacional,39215.8
