ANP_UBPO,ANP_UICN,ANP_CATE
Lima,VI - Uso sostenible de recursos naturales,Bosque de Protección
La Libertad,VI - Uso sostenible de recursos naturales,Bosque de Protección
Junín,VI - Uso sostenible de recursos naturales,Bosque de Protección
Pasco,VI - Uso sostenible de recursos naturales,Bosque de Protección
Cajamarca,VI - Uso sostenible de recursos naturales,Bosque de Protección
San Martín,VI - Uso sostenible de recursos naturales,Bosque de Protección
Piura,VI - Uso sostenible de recursos naturales,Coto de Caza
Cajamarca y la Libertad,VI - Uso sostenible de recursos naturales,Coto de Caza
Cajamarca,II - Protección de Ecosistemas y Recreación,Parque Nacional
Huánuco,II - Protección de Ecosistemas y Recreación,Parque Nacional
Cusco y Madre de Dios,II - Protección de Ecosistemas y Recreación,Parque Nacional
Ancash,II - Protección de Ecosistemas y Recreación,Parque Nacional
Tumbes y Piura,II - Protección de Ecosistemas y Recreación,Parque Nacional
San Martín,II - Protección de Ecosistemas y Recreación,Parque Nacional
Pasco,II - Protección de Ecosistemas y Recreación,Parque Nacional
Madre de Dios y Puno,II - Protección de Ecosistemas y Recreación,Parque Nacional
"San Martín, Loreto, Ucayali y Huánuco",II - Protección de Ecosistemas y Recreación,Parque Nacional
Junín y Cusco,II - Protección de Ecosistemas y Recreación,Parque Nacional
Ucayali y Madre de Dios,II - Protección de Ecosistemas y Recreación,Parque Nacional
Amazonas,II - Protección de Ecosistemas y Recreación,Parque Nacional
Loreto,II - Protección de Ecosistemas y Recreación,Parque Nacional
Loreto y Ucayali,II - Protección de Ecosistemas y Recreación,Parque Nacional
Loreto,II - Protección de Ecosistemas y Recreación,Parque Nacional
Lambayeque,IV - Conservar el hábitat por intervención controlada,Refugio de Vida Silvestre
Lima,IV - Conservar el hábitat por intervención controlada,Refugio de Vida Silvestre
Cajamarca,IV - Conservar el hábitat por intervención controlada,Refugio de Vida Silvestre
Cajamarca,IV - Conservar el hábitat por intervención controlada,Refugio de Vida Silvestre
Cajamarca,IV - Conservar el hábitat por intervención controlada,Refugio de Vida Silvestre
Pasco,VI - Uso sostenible de recursos naturales,Reserva Comunal
"Huánuco, Pasco y Ucayali",VI - Uso sostenible de recursos naturales,Reserva Comunal
Madre de Dios,VI - Uso sostenible de recursos naturales,Reserva Comunal
Junín y Cusco,VI - Uso sostenible de recursos naturales,Reserva Comunal
Cusco,VI - Uso sostenible de recursos naturales,Reserva Comunal
