ANP_UBPO,ANP_CATE,AÑOS
Lima,Bosque de Protección,44
La Libertad,Bosque de Protección,42
Junín,Bosque de Protección,39
Pasco,Bosque de Protección,37
Cajamarca,Bosque de Protección,37
San Martín,Bosque de Protección,37
Piura,Coto de Caza,45
Cajamarca y la Libertad,Coto de Caza,47
Cajamarca,Parque Nacional,63
Huánuco,Parque Nacional,59
Cusco y Madre de Dios,Parque Nacional,51
Ancash,Parque Nacional,49
Tumbes y Piura,Parque Nacional,49
San Martín,Parque Nacional,41
Pasco,Parque Nacional,38
Madre de Dios y Puno,Parque Nacional,28
"San Martín, Loreto, Ucayali y Huánuco",Parque Nacional,23
Junín y Cusco,Parque Nacional,21
Ucayali y Madre de Dios,Parque Nacional,20
Amazonas,Parque Nacional,17
Loreto,Parque Nacional,12
Loreto y Ucayali,Parque Nacional,9
Loreto,Parque Nacional,4
Lambayeque,Refugio de Vida Silvestre,18
Lima,Refugio de Vida Silvestre,18
Cajamarca,Refugio de Vida Silvestre,13
Cajamarca,Refugio de Vida Silvestre,13
Cajamarca,Refugio de Vida Silvestre,13
Pasco,Reserva Comunal,36
"Huánuco, Pasco y Ucayali",Reserva Comunal,23
Madre de Dios,Reserva Comunal,22
Junín y Cusco,Reserva Comunal,21
Cusco,Reserva Comunal,21
Ucayali y Madre de Dios,Reserva Comunal,20
Amazonas,Reserva Comunal,17
Amazonas,Reserva Comunal,15
Loreto,Reserva Comunal,12
Loreto,Reserva Comunal,12
Ayacucho,Reserva Nacional,57
Junín y Pasco,Reserva Nacional,50
Ica,Reserva Nacional,49
Lima,Reserva Nacional,47
Puno,Reserva Nacional,46
Puno,Reserva Nacional,46
Arequipa y Moquegua,Reserva Nacional,45
La Libertad,Reserva Nacional,43
Loreto,Reserva Nacional,52
Madre de Dios,Reserva Nacional,24
Loreto,Reserva Nacional,20
Tumbes,Reserva Nacional,18
Loreto,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Ancash,Reserva Nacional,15
Ancash,Reserva Nacional,15
Lima,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Lima,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Océano Pacífico,Reserva Nacional,15
Ica,Reserva Nacional,15
Ica,Reserva Nacional,15
Arequipa,Reserva Nacional,15
Arequipa,Reserva Nacional,15
Arequipa,Reserva Nacional,15
Arequipa,Reserva Nacional,15
Moquegua,Reserva Nacional,15
Loreto,Reserva Nacional,14
Ica,Reserva Nacional,13
Piura,Reserva Nacional,3
Lima y Junín,Reserva Paisajistica,23
Arequipa,Reserva Paisajistica,19
Junín,Santuario Histórico,50
Ayacucho,Santuario Histórico,44
Cusco,Santuario Histórico,43
Lambayeque,Santuario Histórico,23
Pasco,Santuario Nacional,50
La Libertad,Santuario Nacional,43
Arequipa,Santuario Nacional,40
Apurímac,Santuario Nacional,37
Tumbes,Santuario Nacional,36
Cusco,Santuario Nacional,20
Junín,Santuario Nacional,15
Cajamarca,Santuario Nacional,36
Amazonas,Santuario Nacional,15
